RIC,Trade Date,Settlement Price
YBAc1,1992-01-02,93.17
YBAc1,1992-01-03,93.09
YBAc1,1992-01-06,93.16
YBAc1,1992-01-07,93.12
YBAc1,1992-01-08,93.05
YBAc1,1992-01-09,93.04
YBAc1,1992-01-10,92.9
YBAc1,1992-01-13,92.66
YBAc1,1992-01-14,92.75
YBAc1,1992-01-15,92.7
YBAc1,1992-01-16,92.61
YBAc1,1992-01-17,92.59
YBAc1,1992-01-20,92.7
YBAc1,1992-01-21,92.61
YBAc1,1992-01-22,92.53
YBAc1,1992-01-23,92.54
YBAc1,1992-01-24,92.45
YBAc1,1992-01-27,
YBAc1,1992-01-28,92.51
YBAc1,1992-01-29,92.51
YBAc1,1992-01-30,92.51
YBAc1,1992-01-31,92.53
YBAc1,1992-02-03,92.47
YBAc1,1992-02-04,92.49
YBAc1,1992-02-05,92.48
YBAc1,1992-02-06,92.51
YBAc1,1992-02-07,92.54
YBAc1,1992-02-10,92.6
YBAc1,1992-02-11,92.55
YBAc1,1992-02-12,92.59
YBAc1,1992-02-13,92.54
YBAc1,1992-02-14,92.55
YBAc1,1992-02-17,92.59
YBAc1,1992-02-18,92.57
YBAc1,1992-02-19,92.55
YBAc1,1992-02-20,92.58
YBAc1,1992-02-21,92.54
YBAc1,1992-02-24,92.51
YBAc1,1992-02-25,92.53
YBAc1,1992-02-26,92.5
YBAc1,1992-02-27,92.53
YBAc1,1992-02-28,92.56
YBAc1,1992-03-02,92.58
YBAc1,1992-03-03,92.59
YBAc1,1992-03-04,92.58
YBAc1,1992-03-05,92.58
YBAc1,1992-03-06,92.56
YBAc1,1992-03-09,92.53
YBAc1,1992-03-10,92.54
YBAc1,1992-03-11,92.54
YBAc1,1992-03-12,92.49
YBAc1,1992-03-13,92.53
YBAc1,1992-03-16,92.5
YBAc1,1992-03-17,92.5
YBAc1,1992-03-18,92.51
YBAc1,1992-03-19,92.53
YBAc1,1992-03-20,92.54
YBAc1,1992-03-23,92.53
YBAc1,1992-03-24,92.52
YBAc1,1992-03-25,92.54
YBAc1,1992-03-26,92.56
YBAc1,1992-03-27,92.57
YBAc1,1992-03-30,92.57
YBAc1,1992-03-31,92.6
YBAc1,1992-04-01,92.66
YBAc1,1992-04-02,92.67
YBAc1,1992-04-03,92.79
YBAc1,1992-04-06,92.87
YBAc1,1992-04-07,92.84
YBAc1,1992-04-08,92.85
YBAc1,1992-04-09,92.82
YBAc1,1992-04-10,92.9
YBAc1,1992-04-13,93
YBAc1,1992-04-14,93.01
YBAc1,1992-04-15,93.02
YBAc1,1992-04-16,93.01
YBAc1,1992-04-17,
YBAc1,1992-04-18,
YBAc1,1992-04-19,
YBAc1,1992-04-20,
YBAc1,1992-04-21,92.97
YBAc1,1992-04-22,93.03
YBAc1,1992-04-23,93.05
YBAc1,1992-04-24,93.11
YBAc1,1992-04-27,93.16
YBAc1,1992-04-28,93.14
YBAc1,1992-04-29,93.36
YBAc1,1992-04-30,93.35
YBAc1,1992-05-01,93.35
YBAc1,1992-05-04,93.39
YBAc1,1992-05-05,93.33
YBAc1,1992-05-06,93.43
YBAc1,1992-05-07,93.45
YBAc1,1992-05-08,93.48
YBAc1,1992-05-11,93.46
YBAc1,1992-05-12,93.45
YBAc1,1992-05-13,93.47
YBAc1,1992-05-14,93.49
YBAc1,1992-05-15,93.49
YBAc1,1992-05-18,93.52
YBAc1,1992-05-19,93.54
YBAc1,1992-05-20,93.56
YBAc1,1992-05-21,93.54
YBAc1,1992-05-22,93.53
YBAc1,1992-05-25,93.55
YBAc1,1992-05-26,93.55
YBAc1,1992-05-27,93.55
YBAc1,1992-05-28,93.5
YBAc1,1992-05-29,93.55
YBAc1,1992-06-01,93.55
YBAc1,1992-06-02,93.53
YBAc1,1992-06-03,93.55
YBAc1,1992-06-04,93.55
YBAc1,1992-06-05,93.54
YBAc1,1992-06-08,
YBAc1,1992-06-09,93.55
YBAc1,1992-06-10,93.57
YBAc1,1992-06-11,93.48
YBAc1,1992-06-12,94.15
YBAc1,1992-06-15,94.19
YBAc1,1992-06-16,94.14
YBAc1,1992-06-17,94.16
YBAc1,1992-06-18,94.18
YBAc1,1992-06-19,94.14
YBAc1,1992-06-22,94.18
YBAc1,1992-06-23,94.21
YBAc1,1992-06-24,94.22
YBAc1,1992-06-25,94.24
YBAc1,1992-06-26,94.21
YBAc1,1992-06-29,94.22
YBAc1,1992-06-30,94.28
YBAc1,1992-07-01,94.37
YBAc1,1992-07-02,94.35
YBAc1,1992-07-03,94.4
YBAc1,1992-07-06,94.39
YBAc1,1992-07-07,94.47
YBAc1,1992-07-08,94.45
YBAc1,1992-07-09,94.65
YBAc1,1992-07-10,94.55
YBAc1,1992-07-13,94.61
YBAc1,1992-07-14,94.58
YBAc1,1992-07-15,94.63
YBAc1,1992-07-16,94.64
YBAc1,1992-07-17,94.65
YBAc1,1992-07-20,94.61
YBAc1,1992-07-21,94.64
YBAc1,1992-07-22,94.64
YBAc1,1992-07-23,94.67
YBAc1,1992-07-24,94.68
YBAc1,1992-07-27,94.65
YBAc1,1992-07-28,94.68
YBAc1,1992-07-29,94.74
YBAc1,1992-07-30,94.68
YBAc1,1992-07-31,94.68
YBAc1,1992-08-03,94.68
YBAc1,1992-08-04,94.66
YBAc1,1992-08-05,94.68
YBAc1,1992-08-06,94.68
YBAc1,1992-08-07,94.47
YBAc1,1992-08-10,94.5
YBAc1,1992-08-11,94.4
YBAc1,1992-08-12,94.28
YBAc1,1992-08-13,94.2
YBAc1,1992-08-14,94.24
YBAc1,1992-08-17,94.37
YBAc1,1992-08-18,94.38
YBAc1,1992-08-19,94.34
YBAc1,1992-08-20,94.26
YBAc1,1992-08-21,94.24
YBAc1,1992-08-24,94.13
YBAc1,1992-08-25,94.05
YBAc1,1992-08-26,93.99
YBAc1,1992-08-27,94.05
YBAc1,1992-08-28,94.1
YBAc1,1992-08-31,93.83
YBAc1,1992-09-01,93.93
YBAc1,1992-09-02,93.97
YBAc1,1992-09-03,94.01
YBAc1,1992-09-04,94.01
YBAc1,1992-09-07,94.08
YBAc1,1992-09-08,94.03
YBAc1,1992-09-09,94.06
YBAc1,1992-09-10,94.04
YBAc1,1992-09-11,93.84
YBAc1,1992-09-14,94.16
YBAc1,1992-09-15,94.12
YBAc1,1992-09-16,93.93
YBAc1,1992-09-17,93.81
YBAc1,1992-09-18,93.83
YBAc1,1992-09-21,93.91
YBAc1,1992-09-22,93.85
YBAc1,1992-09-23,93.79
YBAc1,1992-09-24,93.85
YBAc1,1992-09-25,93.89
YBAc1,1992-09-28,93.89
YBAc1,1992-09-29,93.82
YBAc1,1992-09-30,93.82
YBAc1,1992-10-01,93.8
YBAc1,1992-10-02,93.85
YBAc1,1992-10-05,93.83
YBAc1,1992-10-06,94.01
YBAc1,1992-10-07,94
YBAc1,1992-10-08,94.09
YBAc1,1992-10-09,94.04
YBAc1,1992-10-12,94.12
YBAc1,1992-10-13,94.14
YBAc1,1992-10-14,94.12
YBAc1,1992-10-15,94.14
YBAc1,1992-10-16,94.13
YBAc1,1992-10-19,94.19
YBAc1,1992-10-20,94.13
YBAc1,1992-10-21,94.13
YBAc1,1992-10-22,94.14
YBAc1,1992-10-23,94.13
YBAc1,1992-10-26,94.15
YBAc1,1992-10-27,94.13
YBAc1,1992-10-28,93.97
YBAc1,1992-10-29,93.94
YBAc1,1992-10-30,93.93
YBAc1,1992-11-02,93.89
YBAc1,1992-11-03,93.95
YBAc1,1992-11-04,94.06
YBAc1,1992-11-05,94.09
YBAc1,1992-11-06,94.08
YBAc1,1992-11-09,94.11
YBAc1,1992-11-10,94.07
YBAc1,1992-11-11,94.1
YBAc1,1992-11-12,94.11
YBAc1,1992-11-13,94.15
YBAc1,1992-11-16,94.16
YBAc1,1992-11-17,94.1
YBAc1,1992-11-18,94.1
YBAc1,1992-11-19,94.1
YBAc1,1992-11-20,94.09
YBAc1,1992-11-23,94.12
YBAc1,1992-11-24,94.13
YBAc1,1992-11-25,94.14
YBAc1,1992-11-26,94.13
YBAc1,1992-11-27,94.12
YBAc1,1992-11-30,94.05
YBAc1,1992-12-01,94.08
YBAc1,1992-12-02,94.1
YBAc1,1992-12-03,94.12
YBAc1,1992-12-04,94.13
YBAc1,1992-12-07,94.13
YBAc1,1992-12-08,94.13
YBAc1,1992-12-09,94.13
YBAc1,1992-12-10,94.09
YBAc1,1992-12-11,94.05
YBAc1,1992-12-14,94.02
YBAc1,1992-12-15,93.97
YBAc1,1992-12-16,94.01
YBAc1,1992-12-17,93.99
YBAc1,1992-12-18,93.97
YBAc1,1992-12-21,93.98
YBAc1,1992-12-22,93.98
YBAc1,1992-12-23,93.97
YBAc1,1992-12-24,93.97
YBAc1,1992-12-25,
YBAc1,1992-12-26,
YBAc1,1992-12-27,
YBAc1,1992-12-28,
YBAc1,1992-12-29,93.98
YBAc1,1992-12-30,93.98
YBAc1,1992-12-31,93.99
YBAc1,1993-01-01,
YBAc1,1993-01-04,94.2
YBAc1,1993-01-05,94.16
YBAc1,1993-01-06,93.88
YBAc1,1993-01-07,93.94
YBAc1,1993-01-08,93.95
YBAc1,1993-01-11,94.03
YBAc1,1993-01-12,94
YBAc1,1993-01-13,93.99
YBAc1,1993-01-14,94.03
YBAc1,1993-01-15,94.06
YBAc1,1993-01-18,94.14
YBAc1,1993-01-19,94.13
YBAc1,1993-01-20,94.14
YBAc1,1993-01-21,94.03
YBAc1,1993-01-22,94.08
YBAc1,1993-01-25,94.1
YBAc1,1993-01-26,94.11
YBAc1,1993-01-27,94.13
YBAc1,1993-01-28,94.14
YBAc1,1993-01-29,94.14
YBAc1,1993-02-01,94.13
YBAc1,1993-02-02,94.14
YBAc1,1993-02-03,94.16
YBAc1,1993-02-04,94.16
YBAc1,1993-02-05,94.17
YBAc1,1993-02-08,94.11
YBAc1,1993-02-09,94.11
YBAc1,1993-02-10,94.11
YBAc1,1993-02-11,94.11
YBAc1,1993-02-12,94.13
YBAc1,1993-02-15,94.14
YBAc1,1993-02-16,94.14
YBAc1,1993-02-17,94.16
YBAc1,1993-02-18,94.14
YBAc1,1993-02-19,94.16
YBAc1,1993-02-22,94.18
YBAc1,1993-02-23,94.17
YBAc1,1993-02-24,94.25
YBAc1,1993-02-25,94.4
YBAc1,1993-02-26,94.5
YBAc1,1993-03-01,94.66
YBAc1,1993-03-02,94.57
YBAc1,1993-03-03,94.52
YBAc1,1993-03-04,94.55
YBAc1,1993-03-05,94.55
YBAc1,1993-03-08,94.5
YBAc1,1993-03-09,94.47
YBAc1,1993-03-10,94.5
YBAc1,1993-03-11,94.47
YBAc1,1993-03-12,94.61
YBAc1,1993-03-15,94.78
YBAc1,1993-03-16,94.87
YBAc1,1993-03-17,94.87
YBAc1,1993-03-18,94.82
YBAc1,1993-03-19,94.83
YBAc1,1993-03-22,94.81
YBAc1,1993-03-23,94.66
YBAc1,1993-03-24,94.68
YBAc1,1993-03-25,94.67
YBAc1,1993-03-26,94.63
YBAc1,1993-03-29,94.65
YBAc1,1993-03-30,94.68
YBAc1,1993-03-31,94.65
YBAc1,1993-04-01,94.63
YBAc1,1993-04-02,94.63
YBAc1,1993-04-05,94.63
YBAc1,1993-04-06,94.66
YBAc1,1993-04-07,94.69
YBAc1,1993-04-08,94.68
YBAc1,1993-04-09,
YBAc1,1993-04-10,
YBAc1,1993-04-11,
YBAc1,1993-04-12,
YBAc1,1993-04-13,94.75
YBAc1,1993-04-14,94.75
YBAc1,1993-04-15,94.74
YBAc1,1993-04-16,94.76
YBAc1,1993-04-19,94.78
YBAc1,1993-04-20,94.77
YBAc1,1993-04-21,94.78
YBAc1,1993-04-22,94.77
YBAc1,1993-04-23,94.76
YBAc1,1993-04-26,94.78
YBAc1,1993-04-27,94.76
YBAc1,1993-04-28,94.79
YBAc1,1993-04-29,94.81
YBAc1,1993-04-30,94.84
YBAc1,1993-05-03,94.84
YBAc1,1993-05-04,94.78
YBAc1,1993-05-05,94.77
YBAc1,1993-05-06,94.82
YBAc1,1993-05-07,94.87
YBAc1,1993-05-10,94.89
YBAc1,1993-05-11,94.9
YBAc1,1993-05-12,94.94
YBAc1,1993-05-13,94.95
YBAc1,1993-05-14,94.95
YBAc1,1993-05-17,94.93
YBAc1,1993-05-18,94.84
YBAc1,1993-05-19,94.85
YBAc1,1993-05-20,94.86
YBAc1,1993-05-21,94.85
YBAc1,1993-05-24,94.78
YBAc1,1993-05-25,94.82
YBAc1,1993-05-26,94.84
YBAc1,1993-05-27,94.83
YBAc1,1993-05-28,94.82
YBAc1,1993-05-31,94.69
YBAc1,1993-06-01,94.71
YBAc1,1993-06-02,94.74
YBAc1,1993-06-03,94.75
YBAc1,1993-06-04,94.75
YBAc1,1993-06-07,94.73
YBAc1,1993-06-08,94.71
YBAc1,1993-06-09,94.74
YBAc1,1993-06-10,94.76
YBAc1,1993-06-11,94.82
YBAc1,1993-06-14,
YBAc1,1993-06-15,94.89
YBAc1,1993-06-16,94.89
YBAc1,1993-06-17,94.88
YBAc1,1993-06-18,94.87
YBAc1,1993-06-21,94.9
YBAc1,1993-06-22,94.94
YBAc1,1993-06-23,94.88
YBAc1,1993-06-24,94.86
